,L,max_stay_counter,m,n,quench,struc_count,ITC
466,6,6,0.5,1.2,1,77.76,228.9558276
467,6,6,0.5,1.2,2,79.98,224.8196194
468,6,6,0.5,1.3,0.1,80.58,229.5204822
469,6,6,0.5,1.3,0.2,75.96,231.406723
470,6,6,0.5,1.3,0.3,85.5,229.6489592
471,6,6,0.5,1.3,0.4,77.72,229.6942211
472,6,6,0.5,1.3,0.5,80.24,228.4752937
473,6,6,0.5,1.3,0.65,73.7,231.3611404
474,6,6,0.5,1.3,0.8,80.74,229.7942356
475,6,6,0.5,1.3,1,80.92,228.4935658
476,6,6,0.5,1.3,2,80.36,220.9804098
477,6,6,0.5,1.4,0.1,82.94,232.2751827
478,6,6,0.5,1.4,0.2,67,232.8571847
479,6,6,0.5,1.4,0.3,80.8,230.8231406
480,6,6,0.5,1.4,0.4,89.18,228.8584084
481,6,6,0.5,1.4,0.5,79.92,233.135128
482,6,6,0.5,1.4,0.65,73.24,229.8563573
483,6,6,0.5,1.4,0.8,83.52,227.6626043
484,6,6,0.5,1.4,1,81.14,231.4293546
485,6,6,0.5,1.4,2,85.44,227.2924752
486,6,6,0.5,1.5,0.1,76.46,231.763332
487,6,6,0.5,1.5,0.2,76.44,228.9530227
488,6,6,0.5,1.5,0.3,76.78,234.4650427
489,6,6,0.5,1.5,0.4,79.42,227.9662418
490,6,6,0.5,1.5,0.5,87.94,225.5472463
491,6,6,0.5,1.5,0.65,85.76,228.5494967
492,6,6,0.5,1.5,0.8,76.46,229.675294
493,6,6,0.5,1.5,1,82.2,229.2389739
494,6,6,0.5,1.5,2,82.02,229.0626336
495,6,6,0.5,1.6,0.1,70.98,232.0188695
496,6,6,0.5,1.6,0.2,83.68,232.4374254
497,6,6,0.5,1.6,0.3,76.5,229.5075134
498,6,6,0.5,1.6,0.4,80.96,230.5194623
499,6,6,0.5,1.6,0.5,79.94,226.7060527
500,6,6,0.5,1.6,0.65,84.48,229.4816105
501,6,6,0.5,1.6,0.8,83.08,231.5013643
502,6,6,0.5,1.6,1,81.44,226.505004
503,6,6,0.5,1.6,2,82.96,229.5532079
504,6,6,0.5,1.7,0.1,76.2,231.6961876
505,6,6,0.5,1.7,0.2,75.66,233.7122613
506,6,6,0.5,1.7,0.3,80.18,231.0106435
